Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
139,Buddy Hield,32,GSW,SG,49,17,23.0,4.1,10.0,.411,2.5,6.9,.366,1.6,3.1,.513,.538,0.8,0.9,.822,0.6,2.7,3.2,1.6,0.9,0.3,1.2,1.8,11.5,,hieldbu01
140,Alex Sarr,19,WAS,C,41,41,26.8,4.3,10.9,.397,1.4,4.6,.307,2.9,6.3,.463,.462,1.4,2.1,.644,1.8,4.8,6.6,2.2,0.7,1.6,1.4,2.4,11.5,,sarral01
141,Jonas Valančiūnas,32,WAS,C,49,12,20.1,4.7,8.6,.547,0.1,0.6,.259,4.6,8.1,.567,.556,1.9,2.2,.896,2.4,5.8,8.2,2.2,0.4,0.6,1.8,2.0,11.5,,valanjo01
142,Corey Kispert,25,WAS,SF,44,0,26.6,4.1,9.3,.447,1.9,5.4,.353,2.2,3.8,.580,.550,1.2,1.4,.869,0.6,2.3,3.0,1.6,0.6,0.2,1.0,1.6,11.4,,kispeco01
143,Jaylen Wells,21,MEM,SG,50,45,26.2,4.0,9.1,.444,1.9,5.0,.379,2.1,4.1,.522,.547,1.5,1.8,.841,1.1,2.1,3.2,1.7,0.6,0.1,1.0,1.8,11.4,,wellsja01
144,Zaccharie Risacher,19,ATL,SF,43,41,23.9,4.2,10.0,.420,1.3,4.3,.311,2.9,5.7,.500,.486,1.6,2.3,.694,1.3,2.2,3.5,1.2,0.8,0.5,1.1,2.0,11.3,,risacza01
145,Tari Eason,23,HOU,PF,33,1,23.6,4.3,9.2,.472,1.0,3.0,.343,3.3,6.2,.534,.528,1.5,2.1,.739,2.2,4.2,6.3,1.1,1.8,0.9,0.9,2.4,11.2,,easonta01
146,Ty Jerome,27,CLE,SG,47,2,18.9,4.1,8.0,.516,1.5,3.4,.431,2.7,4.6,.579,.608,1.5,1.7,.886,0.7,1.7,2.4,3.4,1.2,0.0,1.2,1.4,11.2,,jeromty01
147,Andrew Nembhard,25,IND,SG,33,33,28.4,4.2,8.6,.482,0.8,2.4,.342,3.3,6.2,.537,.530,1.9,2.5,.762,0.5,2.9,3.5,5.2,1.2,0.1,1.8,2.2,11.1,,nembhan01
148,Duncan Robinson,30,MIA,SF,46,28,24.2,3.9,9.2,.424,2.5,6.7,.381,1.4,2.6,.534,.561,0.7,0.8,.895,0.3,2.2,2.4,2.7,0.5,0.1,1.1,2.1,11.1,,robindu01
149,Guerschon Yabusele,29,PHI,C,47,25,26.8,4.1,7.9,.523,1.5,3.8,.400,2.6,4.1,.639,.620,1.4,1.9,.727,1.9,3.7,5.6,2.0,0.8,0.4,1.3,2.5,11.1,,yabusgu01
150,Donte DiVincenzo,28,MIN,SG,40,8,26.4,3.7,9.3,.397,2.6,7.0,.369,1.1,2.4,.479,.535,1.0,1.3,.820,0.6,3.1,3.7,3.6,1.2,0.2,1.8,1.6,11.0,,divindo01
151,Jrue Holiday,34,BOS,PG,44,44,30.2,4.0,9.1,.438,1.8,5.1,.342,2.3,4.0,.559,.534,1.2,1.4,.900,1.1,3.3,4.4,3.7,1.0,0.4,1.3,1.6,11.0,,holidjr01
152,Tyus Jones,28,PHO,PG,48,48,29.3,4.1,8.8,.468,2.0,4.9,.416,2.1,3.9,.532,.583,0.7,0.8,.875,0.5,1.9,2.4,5.9,0.9,0.1,1.3,1.0,11.0,,jonesty01
153,Grayson Allen,29,PHO,SG,40,1,24.7,3.5,7.6,.457,2.5,5.7,.432,1.0,1.9,.532,.618,1.5,1.8,.831,0.6,2.8,3.4,1.9,1.0,0.3,1.0,1.4,10.9,,allengr01
154,Walker Kessler,23,UTA,C,38,38,29.9,4.7,6.5,.720,0.1,0.2,.333,4.6,6.3,.729,.724,1.5,2.8,.538,4.3,7.1,11.5,1.5,0.6,2.3,1.4,2.2,10.9,,kesslwa01
155,Naji Marshall,27,DAL,SF,38,14,24.3,4.3,8.7,.495,0.8,2.8,.299,3.5,5.9,.589,.544,1.5,1.7,.862,0.9,2.7,3.6,2.6,1.0,0.1,1.4,1.4,10.9,,marshna01
156,Jaden McDaniels,24,MIN,PF,50,50,31.4,4.3,9.2,.462,1.3,3.8,.340,3.0,5.4,.548,.533,1.1,1.4,.800,1.4,4.0,5.4,1.7,1.5,0.9,1.1,2.9,10.9,,mcdanja02
157,Tim Hardaway Jr.,32,DET,SG,46,46,28.4,3.5,8.4,.415,2.1,5.5,.374,1.4,2.9,.493,.537,1.7,2.1,.821,0.2,2.0,2.2,1.6,0.5,0.0,0.7,1.3,10.8,,hardati02
158,Jordan Hawkins,22,NOP,SG,32,5,23.2,3.7,10.0,.364,1.9,5.9,.328,1.7,4.1,.417,.461,1.5,1.8,.831,0.4,2.1,2.5,0.9,0.7,0.4,0.9,0.8,10.8,,hawkijo01
159,Nikola Jović,21,MIA,PF,39,10,24.5,3.7,8.1,.457,1.7,4.5,.385,2.0,3.6,.546,.563,1.7,2.1,.838,0.6,3.4,4.0,2.8,0.9,0.3,1.2,1.6,10.8,,jovicni01
160,Brandon Boston Jr.,23,NOP,SG,41,10,23.9,4.0,9.1,.437,1.1,3.3,.341,2.9,5.8,.492,.499,1.6,2.0,.802,0.7,2.6,3.2,2.2,1.2,0.2,1.2,1.7,10.7,,bostobr01
161,Jalen Duren,21,DET,C,47,47,25.8,4.5,6.4,.703,0.0,0.0,,4.5,6.4,.703,.703,1.8,2.7,.664,3.5,6.5,10.0,2.3,0.6,1.2,1.9,3.2,10.7,,durenja01
162,Rudy Gobert,32,MIN,C,50,50,33.3,4.2,6.4,.652,0.0,0.0,,4.2,6.4,.652,.652,2.4,3.4,.686,3.3,7.0,10.3,1.9,0.7,1.5,1.3,2.4,10.7,,goberru01
163,Julian Champagnie,23,SAS,SF,47,26,25.4,3.6,8.7,.418,2.3,6.4,.365,1.3,2.3,.566,.553,1.0,1.1,.902,0.8,3.4,4.3,1.2,0.7,0.4,1.0,1.4,10.6,,champju02
164,Chris Boucher,32,TOR,PF,43,0,17.4,3.8,7.5,.506,1.5,3.9,.375,2.3,3.6,.649,.604,1.5,1.9,.788,1.3,3.1,4.3,0.6,0.5,0.6,0.6,1.4,10.5,,bouchch01
165,Caris LeVert,30,CLE,SF,37,2,23.9,3.6,7.8,.466,1.6,3.9,.414,2.0,3.9,.517,.569,1.6,2.2,.699,0.6,2.2,2.8,3.8,0.9,0.5,1.3,1.2,10.5,,leverca01
166,Derrick Jones Jr.,27,LAC,SF,48,45,25.1,4.2,8.0,.519,1.0,2.8,.366,3.1,5.2,.602,.583,1.1,1.4,.788,1.4,2.3,3.7,0.9,1.2,0.4,0.9,2.0,10.4,,jonesde02
167,Grant Williams,26,CHO,PF,16,7,29.9,3.4,7.7,.439,1.7,4.6,.365,1.7,3.1,.551,.549,1.9,2.3,.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9,10.4,,willigr01
168,Ochai Agbaji,24,TOR,SG,44,34,27.9,4.1,8.1,.513,1.5,3.9,.400,2.6,4.2,.616,.608,0.5,0.7,.667,0.8,2.8,3.7,1.6,0.8,0.6,0.8,2.0,10.3,,agbajoc01
169,Toumani Camara,24,POR,PF,49,49,32.1,3.8,8.4,.457,1.5,4.1,.365,2.3,4.2,.548,.547,1.1,1.5,.733,2.2,3.5,5.8,2.0,1.4,0.6,1.5,2.9,10.3,,camarto01
170,Dante Exum,29,DAL,PG,3,2,18.3,4.0,8.7,.462,0.3,2.0,.167,3.7,6.7,.550,.481,2.0,2.7,.750,0.3,1.3,1.7,2.7,1.0,0.0,1.3,2.0,10.3,,exumda01
171,Herbert Jones,26,NOP,SF,20,20,32.4,3.8,8.6,.436,1.1,3.6,.306,2.7,5.0,.530,.500,1.7,2.0,.825,1.1,2.8,3.9,3.3,1.9,0.5,1.8,3.3,10.3,,joneshe01
172,De'Anthony Melton,26,GSW,SG,6,2,20.2,3.7,9.0,.407,2.2,5.8,.371,1.5,3.2,.474,.528,0.8,1.3,.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,,meltode01
173,Quentin Grimes,24,DAL,SG,47,12,22.8,3.6,7.8,.463,1.7,4.3,.398,1.9,3.5,.543,.573,1.3,1.7,.765,0.6,3.2,3.8,2.1,0.7,0.2,1.3,1.7,10.2,,grimequ01
174,Amir Coffey,27,LAC,SG,49,11,26.0,3.5,7.4,.473,1.5,3.7,.413,2.0,3.8,.530,.574,1.6,1.8,.897,0.5,1.9,2.4,1.1,0.6,0.1,0.7,1.6,10.1,,coffeam01
175,Spencer Dinwiddie,31,DAL,PG,49,18,25.0,3.2,7.9,.404,1.3,4.0,.335,1.9,3.9,.474,.488,2.4,2.8,.847,0.2,2.2,2.4,3.8,0.9,0.2,1.1,1.5,10.1,,dinwisp01
176,Bogdan Bogdanović,32,ATL,SG,24,0,24.9,3.5,9.3,.371,1.8,6.1,.301,1.6,3.3,.500,.469,1.3,1.4,.882,0.5,2.3,2.8,2.0,0.8,0.3,1.5,2.4,10.0,,bogdabo01
177,Nic Claxton,25,BRK,C,43,35,26.5,4.3,7.9,.548,0.0,0.3,.071,4.3,7.6,.569,.550,1.3,2.4,.529,2.0,5.5,7.5,2.0,0.9,1.2,1.2,2.1,10.0,,claxtni01
178,Tosan Evbuomwan,23,BRK,SF,16,0,24.8,3.7,7.9,.468,0.8,2.5,.325,2.9,5.4,.535,.520,1.8,2.4,.744,1.1,3.0,4.1,1.7,0.8,0.3,1.9,1.9,10.0,,evbuoto01
179,Svi Mykhailiuk,27,UTA,SF,18,8,18.9,3.6,8.6,.422,2.2,6.1,.355,1.4,2.4,.591,.549,0.6,0.8,.786,0.4,1.8,2.3,1.7,0.7,0.3,1.7,1.4,10.0,,mykhasv01
180,Aaron Wiggins,26,OKC,SG,48,15,21.3,4.0,8.1,.491,1.4,3.8,.365,2.6,4.4,.600,.575,0.7,0.8,.821,1.0,2.5,3.5,1.6,0.7,0.2,0.9,1.3,10.0,,wiggiaa01
181,Luguentz Dort,25,OKC,SF,46,46,29.0,3.4,8.1,.422,2.3,5.5,.420,1.1,2.6,.429,.566,0.7,0.8,.821,1.5,2.9,4.3,1.7,1.0,0.7,0.7,3.1,9.9,,dortlu01
182,T.J. McConnell,32,IND,PG,48,0,18.7,4.5,8.6,.527,0.1,0.6,.250,4.4,8.0,.547,.535,0.7,1.0,.739,0.6,2.1,2.6,4.5,1.2,0.3,1.5,1.1,9.9,,mccontj01
183,Zach Edey,22,MEM,C,36,29,20.8,4.0,6.9,.580,0.4,1.1,.359,3.6,5.9,.621,.608,1.3,2.0,.676,3.3,4.3,7.6,1.0,0.7,1.2,1.5,2.7,9.8,,edeyza01
184,Luke Kennard,28,MEM,SG,37,5,22.1,3.3,6.9,.480,2.2,4.6,.485,1.1,2.4,.471,.641,1.0,1.1,.878,0.6,2.2,2.9,3.5,0.7,0.1,1.1,0.8,9.8,,kennalu01
185,Obi Toppin,26,IND,PF,46,0,18.8,3.8,7.1,.538,1.2,3.4,.348,2.6,3.7,.712,.622,1.1,1.3,.790,0.7,3.3,4.0,1.5,0.7,0.4,0.7,1.4,9.8,,toppiob01
186,Isaiah Joe,25,OKC,SG,44,11,21.0,3.4,7.9,.431,2.5,6.2,.399,0.9,1.7,.547,.587,0.4,0.6,.731,0.5,2.1,2.5,1.4,0.7,0.1,0.5,1.6,9.7,,joeis01
187,Keon Johnson,22,BRK,SG,48,28,22.9,3.5,9.4,.374,1.5,4.9,.298,2.0,4.5,.458,.452,1.3,1.6,.769,0.7,2.7,3.4,1.9,0.9,0.3,1.3,2.5,9.7,,johnske07
188,Brice Sensabaugh,21,UTA,SF,38,1,18.1,3.5,7.6,.459,1.8,4.6,.386,1.7,3.0,.570,.576,0.9,0.9,.943,0.6,2.0,2.7,1.3,0.6,0.1,1.4,1.4,9.7,,sensabr01
189,Cam Whitmore,20,HOU,SF,31,0,16.9,3.7,8.5,.438,1.3,3.8,.328,2.5,4.7,.527,.511,1.0,1.4,.721,0.8,2.5,3.2,0.8,0.7,0.3,1.1,1.0,9.7,,whitmca01
190,Jose Alvarado,26,NOP,PG,27,7,22.2,3.2,8.0,.405,2.2,5.3,.410,1.0,2.6,.394,.542,1.0,1.3,.794,0.4,1.5,2.0,4.1,1.3,0.3,1.1,2.0,9.6,,alvarjo01
191,Scotty Pippen Jr.,24,MEM,PG,50,16,21.4,3.6,7.7,.465,0.9,2.8,.341,2.6,4.9,.534,.526,1.5,2.2,.673,0.8,2.6,3.4,4.7,1.2,0.4,1.8,2.6,9.6,,pippesc02
192,Gary Trent Jr.,26,MIL,SG,43,7,24.6,3.3,7.9,.426,2.2,5.2,.417,1.2,2.7,.443,.564,0.7,0.8,.889,0.2,2.1,2.3,1.0,1.0,0.0,0.6,1.8,9.6,,trentga02
193,Ziaire Williams,23,BRK,SF,36,19,23.5,3.2,7.9,.406,1.3,4.0,.329,1.9,4.0,.483,.488,1.8,2.3,.815,1.1,3.7,4.7,1.4,1.0,0.4,1.1,2.4,9.6,,willizi02
194,Jalen Wilson,24,BRK,PF,49,15,27.6,3.3,8.3,.394,1.4,4.5,.311,1.9,3.8,.492,.478,1.6,2.0,.833,1.0,2.4,3.5,1.9,0.5,0.0,1.1,2.2,9.6,,wilsoja03
195,Clint Capela,30,ATL,C,45,41,22.4,4.2,7.3,.573,0.0,0.0,,4.2,7.3,.573,.573,1.0,1.9,.541,3.3,5.7,9.0,1.2,0.6,1.0,1.0,2.0,9.4,,capelca01
196,Noah Clowney,20,BRK,PF,37,18,23.1,3.0,8.1,.375,2.0,5.6,.354,1.0,2.4,.422,.498,1.4,1.6,.850,0.9,3.0,3.9,0.8,0.5,0.5,1.0,2.4,9.4,,clownno01
197,Jaime Jaquez Jr.,23,MIA,SF,43,10,23.3,3.4,7.7,.442,0.6,2.0,.302,2.8,5.7,.492,.482,2.0,2.7,.757,1.3,3.5,4.7,2.7,1.1,0.2,1.5,1.6,9.4,,jaqueja01
198,Dalton Knecht,23,LAL,SF,48,12,20.7,3.4,7.4,.465,1.6,4.5,.358,1.8,2.9,.630,.574,1.0,1.2,.825,0.5,2.6,3.1,0.9,0.3,0.1,0.5,1.3,9.4,,knechda01
199,Chris Paul,39,SAS,PG,47,47,29.1,3.1,7.5,.416,1.7,4.8,.362,1.4,2.7,.512,.531,1.4,1.5,.958,0.5,3.7,4.1,8.2,1.3,0.2,1.6,1.9,9.4,,paulch01
200,Julian Strawther,22,DEN,SG,50,0,21.8,3.3,7.6,.439,1.5,4.2,.368,1.8,3.4,.527,.541,1.2,1.5,.822,0.3,1.8,2.1,1.3,0.7,0.3,0.8,2.3,9.4,,strawju01
201,Patrick Williams,23,CHI,PF,41,35,26.7,3.3,8.8,.380,1.7,4.6,.358,1.7,4.2,.404,.474,1.1,1.4,.804,0.8,3.4,4.2,2.2,0.8,0.6,1.4,1.3,9.4,,willipa01
202,Kevin Porter Jr.,24,LAC,SG,45,2,19.6,3.8,9.0,.423,0.6,2.4,.245,3.2,6.7,.485,.455,1.1,1.7,.645,0.6,2.9,3.6,3.2,1.0,0.2,1.9,1.6,9.3,,porteke02
203,Goga Bitadze,25,ORL,C,40,36,24.1,3.9,6.3,.614,0.1,0.5,.105,3.8,5.8,.655,.618,1.4,2.2,.651,2.8,5.5,8.3,2.4,0.9,1.6,1.4,2.3,9.2,,bitadgo01
204,Royce O'Neale,31,PHO,SF,43,11,25.2,3.3,7.7,.426,2.2,5.6,.402,1.0,2.1,.489,.571,0.4,0.5,.773,0.9,4.3,5.1,2.1,1.0,0.5,1.0,2.2,9.2,,onealro01
205,Marcus Smart,30,MEM,PG,18,6,21.2,2.9,7.9,.373,1.6,4.8,.333,1.3,3.1,.436,.475,1.7,2.0,.833,0.8,1.6,2.3,3.8,1.3,0.3,1.9,1.7,9.2,,smartma01
206,Cole Anthony,24,ORL,PG,46,8,17.0,3.4,8.0,.421,1.0,3.2,.317,2.4,4.8,.489,.484,1.3,1.7,.792,0.7,2.3,2.9,2.8,0.6,0.3,1.6,2.2,9.1,,anthoco01
207,Dereck Lively II,20,DAL,C,32,25,24.0,3.9,5.5,.701,0.0,0.0,,3.9,5.5,.701,.701,1.4,2.2,.638,3.1,4.8,7.8,2.6,0.5,1.7,1.2,2.9,9.1,,livelde01
208,Caleb Martin,29,PHI,SF,31,24,30.4,3.3,7.5,.435,1.1,2.8,.379,2.2,4.7,.469,.506,1.5,2.4,.622,1.4,3.0,4.4,2.2,1.1,0.6,1.4,2.0,9.1,,martica02
209,Miles McBride,24,NYK,PG,41,0,23.3,3.3,7.9,.422,1.7,4.6,.367,1.6,3.3,.500,.530,0.8,1.0,.829,0.8,1.6,2.4,2.7,0.9,0.2,0.7,1.4,9.1,,mcbrimi01
210,Nick Richards,27,2TM,C,30,17,22.0,3.2,5.7,.558,0.0,0.1,.000,3.2,5.7,.565,.558,2.6,3.8,.690,2.5,5.9,8.4,1.2,0.3,1.1,1.7,2.5,9.0,,richani01
210,Nick Richards,27,CHO,C,21,9,21.0,3.0,5.4,.561,0.0,0.0,.000,3.0,5.4,.566,.561,2.8,4.1,.678,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,8.9,,richani01
210,Nick Richards,27,PHO,C,9,8,24.3,3.6,6.4,.552,0.0,0.1,.000,3.6,6.3,.561,.552,2.1,2.9,.731,2.7,7.8,10.4,0.8,0.2,0.9,1.9,2.9,9.2,,richani01
211,Kentavious Caldwell-Pope,31,ORL,SG,48,48,30.7,3.2,7.7,.416,1.5,4.8,.311,1.7,2.9,.586,.512,1.2,1.4,.877,0.4,1.6,2.0,1.8,1.5,0.5,0.9,1.9,9.0,,caldwke01
212,GG Jackson II,20,MEM,PF,8,0,17.3,3.4,8.9,.380,1.3,4.6,.270,2.1,4.3,.500,.451,1.0,1.3,.800,0.9,2.8,3.6,0.9,0.6,0.3,1.4,1.0,9.0,,jacksgg01
213,Moses Moody,22,GSW,SG,42,5,18.2,3.1,6.9,.443,1.7,4.3,.400,1.4,2.6,.514,.567,1.1,1.5,.708,0.5,1.6,2.1,1.1,0.5,0.3,0.7,1.3,9.0,,moodymo01
214,Dorian Finney-Smith,31,2TM,PF,34,23,26.9,3.2,6.8,.468,2.0,4.7,.431,1.1,2.1,.549,.617,0.6,0.9,.655,1.3,2.6,3.9,1.3,0.9,0.4,0.8,2.5,8.9,,finnedo01
214,Dorian Finney-Smith,31,BRK,PF,20,20,29.0,3.7,8.0,.459,2.4,5.4,.435,1.3,2.6,.510,.607,0.8,1.2,.625,1.6,3.0,4.6,1.6,0.9,0.6,0.9,2.7,10.4,,finnedo01
214,Dorian Finney-Smith,31,LAL,PF,14,3,23.9,2.5,5.1,.486,1.6,3.7,.423,0.9,1.4,.650,.639,0.3,0.4,.800,0.9,2.1,3.1,0.9,0.8,0.0,0.7,2.2,6.9,,finnedo01
215,Brandin Podziemski,21,GSW,SG,36,8,24.0,3.3,7.8,.430,1.3,3.9,.336,2.0,3.9,.525,.514,0.9,1.1,.800,1.0,3.5,4.5,3.3,1.0,0.2,1.1,1.5,8.9,,podzibr01
216,Anthony Black,21,ORL,PG,47,9,24.9,3.1,7.7,.403,0.6,2.3,.266,2.5,5.3,.462,.443,2.0,2.7,.742,0.6,2.1,2.6,3.4,1.0,0.5,1.9,2.3,8.8,,blackan01
217,Georges Niang,31,CLE,PF,50,1,20.6,3.3,6.8,.478,1.8,4.4,.403,1.5,2.4,.617,.609,0.5,0.6,.793,0.7,3.0,3.7,1.3,0.3,0.1,0.9,2.5,8.8,,niangge01
218,Nickeil Alexander-Walker,26,MIN,SG,50,4,23.7,3.1,7.1,.442,1.7,4.2,.396,1.4,2.8,.511,.561,0.8,1.0,.731,0.6,2.3,2.9,2.4,0.6,0.3,1.2,1.7,8.7,,alexani01
219,Yves Missi,20,NOP,C,47,41,27.1,3.4,6.3,.551,0.0,0.0,.000,3.4,6.2,.553,.551,1.8,2.7,.651,3.6,4.5,8.1,1.4,0.6,1.5,1.2,2.1,8.7,,missiyv01
220,Max Christie,21,2TM,SG,47,25,25.2,2.8,6.3,.449,1.4,3.6,.383,1.5,2.7,.535,.557,1.6,1.9,.843,0.6,2.2,2.8,1.5,0.8,0.4,0.9,1.6,8.6,,chrisma02
220,Max Christie,21,LAL,SG,46,25,25.1,2.8,6.3,.444,1.3,3.5,.368,1.5,2.7,.544,.549,1.6,1.9,.851,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5,,chrisma02
220,Max Christie,21,DAL,SG,1,0,32.0,5.0,8.0,.625,4.0,4.0,1.000,1.0,4.0,.250,.875,1.0,2.0,.500,2.0,7.0,9.0,3.0,1.0,0.0,2.0,2.0,15.0,,chrisma02
221,Wendell Carter Jr.,25,ORL,C,38,26,25.8,3.1,6.9,.441,0.4,2.3,.186,2.6,4.7,.565,.471,2.1,2.9,.727,1.8,5.4,7.3,2.4,0.8,0.5,1.0,2.7,8.6,,cartewe01
222,Jusuf Nurkić,30,PHO,C,25,23,23.7,3.0,6.5,.454,0.8,2.4,.322,2.2,4.2,.529,.512,1.9,2.8,.696,1.8,7.3,9.2,1.9,0.9,0.6,2.3,3.1,8.6,,nurkiju01
223,Kel'el Ware,20,MIA,C,33,7,18.1,3.6,6.4,.562,0.8,1.8,.410,2.8,4.5,.624,.621,0.7,1.0,.727,1.2,4.0,5.2,0.6,0.6,1.0,0.7,1.3,8.6,,wareke01
224,Dalano Banton,25,POR,PG,39,0,15.3,3.0,7.4,.410,1.2,3.2,.357,1.9,4.2,.451,.488,1.3,1.9,.703,0.3,1.6,1.9,2.1,0.7,0.5,1.2,0.9,8.5,,bantoda01
225,Tristan Da Silva,23,ORL,SF,47,35,25.9,3.2,7.6,.421,1.3,3.8,.330,2.0,3.8,.511,.503,0.8,1.0,.848,1.3,2.8,4.0,1.7,0.5,0.2,0.9,1.5,8.5,,dasiltr01
226,Larry Nance Jr.,32,ATL,PF,20,3,19.3,3.3,6.5,.512,1.5,3.2,.453,1.9,3.3,.569,.624,0.4,0.5,.800,1.0,3.5,4.5,1.6,1.0,0.6,0.7,1.5,8.5,,nancela02
227,Aaron Nesmith,25,IND,SF,14,8,21.0,2.9,5.7,.513,1.1,2.4,.441,1.9,3.3,.565,.606,1.6,1.8,.880,0.5,2.9,3.4,1.1,0.6,0.3,0.8,2.8,8.5,,nesmiaa01
228,Bruce Brown,28,TOR,PG,17,0,19.7,3.2,7.2,.443,0.6,1.9,.333,2.5,5.2,.483,.488,1.4,1.6,.889,0.9,2.9,3.8,1.6,0.9,0.2,1.1,1.5,8.4,,brownbr01
229,Carlton Carrington,19,WAS,PG,49,34,28.8,3.1,8.0,.387,1.5,4.5,.327,1.6,3.5,.462,.478,0.7,0.9,.810,0.4,3.5,3.9,3.8,0.7,0.2,1.4,2.4,8.4,,carrica01
230,Jaden Hardy,22,DAL,SG,39,3,15.6,3.1,7.1,.430,1.3,3.4,.386,1.7,3.7,.469,.522,0.9,1.3,.740,0.2,1.4,1.6,1.4,0.5,0.1,1.5,1.6,8.4,,hardyja02
231,Jaylen Nowell,25,NOP,SG,8,0,21.0,3.3,9.1,.356,1.0,3.4,.296,2.3,5.8,.391,.411,0.9,1.4,.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4,,nowelja01
232,Draymond Green,34,GSW,PF,35,33,27.9,2.9,7.0,.416,1.3,3.7,.357,1.6,3.3,.483,.510,1.1,1.9,.597,1.0,5.0,6.0,5.5,1.0,1.1,2.5,3.0,8.3,,greendr01
233,Jalen Smith,24,CHI,C,46,1,15.3,3.0,6.3,.467,1.2,3.5,.346,1.8,2.9,.614,.562,1.2,1.5,.836,1.5,4.2,5.6,0.9,0.3,0.8,0.6,1.5,8.3,,smithja04
234,Ausar Thompson,22,DET,SF,28,17,20.1,3.4,6.7,.513,0.3,1.1,.219,3.2,5.5,.574,.532,1.1,1.9,.615,1.5,3.3,4.8,1.7,1.5,0.5,1.4,2.6,8.3,,thompau01
235,Tyrese Martin,25,BRK,SG,32,6,21.3,3.0,7.5,.402,1.6,4.5,.354,1.4,3.0,.474,.508,0.6,0.9,.679,1.1,2.9,4.0,1.8,0.4,0.2,1.3,1.1,8.2,,martity01
236,Mike Conley,37,MIN,PG,45,39,25.0,2.5,6.9,.367,1.8,4.6,.382,0.8,2.3,.337,.494,1.2,1.4,.903,0.5,2.1,2.6,4.5,1.3,0.2,1.1,1.5,8.1,,conlemi01
237,Peyton Watson,22,DEN,SF,48,12,24.1,2.9,6.2,.471,0.7,2.0,.340,2.3,4.2,.532,.525,1.6,2.1,.752,0.8,2.6,3.4,1.5,0.9,1.2,0.9,1.7,8.1,,watsope01
238,Justin Edwards,21,PHI,SF,20,5,23.6,3.0,6.5,.465,1.5,4.0,.363,1.6,2.5,.633,.578,0.5,0.8,.667,1.0,2.1,3.1,1.4,0.8,0.4,0.9,2.2,8.0,,edwarju01
239,Al Horford,38,BOS,C,39,25,26.3,2.9,7.1,.410,1.8,5.1,.350,1.2,2.1,.556,.534,0.4,0.4,.875,1.1,4.2,5.3,1.9,0.6,0.9,0.7,1.5,8.0,,horfoal01
240,Trayce Jackson-Davis,24,GSW,C,46,37,19.5,3.4,6.0,.568,0.0,0.0,.000,3.4,6.0,.570,.568,1.1,1.9,.605,2.3,3.8,6.2,2.1,0.5,0.7,0.8,1.4,8.0,,jackstr02
241,Kevin Huerter,26,SAC,SG,43,15,20.9,3.0,7.2,.413,1.4,4.8,.302,1.5,2.4,.629,.513,0.5,0.7,.714,0.4,2.3,2.8,1.7,0.8,0.4,0.9,1.6,7.9,,huertke01
242,Jay Huff,26,MEM,C,43,1,13.1,2.8,5.3,.524,1.5,3.5,.417,1.3,1.8,.737,.663,0.9,1.1,.771,0.5,1.7,2.3,0.7,0.3,0.9,0.7,1.4,7.9,,huffja01
243,Garrison Mathews,28,ATL,SG,41,2,18.3,2.2,5.6,.394,1.9,4.8,.393,0.3,0.9,.400,.561,1.5,1.9,.829,0.3,1.6,1.9,1.3,0.6,0.3,0.7,1.8,7.9,,mathega01
244,Day'Ron Sharpe,23,BRK,C,28,0,17.4,3.1,6.3,.500,0.2,1.0,.172,3.0,5.3,.565,.514,1.4,1.9,.769,2.9,3.2,6.1,1.5,0.8,0.6,1.2,2.1,7.9,,sharpda01
245,Trendon Watford,24,BRK,PF,16,0,16.3,2.8,6.4,.431,0.6,1.9,.290,2.2,4.4,.493,.475,1.9,2.3,.811,0.4,2.6,3.0,1.3,0.4,0.3,1.3,2.3,7.9,,watfotr01
246,Brandon Clarke,28,MEM,PF,46,18,18.8,3.5,5.7,.615,0.0,0.3,.063,3.5,5.3,.650,.616,0.8,1.2,.679,1.8,3.2,5.0,1.0,0.9,0.5,0.6,2.5,7.8,,clarkbr01
247,A.J. Green,25,MIL,SG,41,5,21.8,2.6,5.9,.444,2.2,5.1,.435,0.4,0.8,.500,.633,0.3,0.4,.867,0.3,2.0,2.3,1.3,0.5,0.1,0.6,2.1,7.8,,greenaj01
248,Cody Martin,29,CHO,SF,39,8,24.8,3.0,6.9,.433,1.0,3.2,.323,1.9,3.7,.528,.507,0.9,1.3,.694,1.0,3.5,4.5,2.3,1.1,0.7,1.1,1.8,7.8,,martico01
249,Max Strus,28,CLE,SF,22,9,24.4,2.8,6.7,.419,2.0,5.3,.371,0.9,1.5,.594,.564,0.2,0.3,.714,0.8,3.5,4.2,3.0,0.6,0.4,1.0,2.0,7.8,,strusma01
250,Justin Champagnie,23,WAS,SF,31,13,18.8,3.0,5.9,.511,1.1,2.8,.379,1.9,3.1,.632,.602,0.6,0.9,.655,1.5,3.1,4.6,1.0,1.0,0.6,0.8,1.8,7.7,,champju01
